participant_id,phase,block,task,,diff_mean,diff_variance,mapping,natural_mapping
13rd,Post-Test,1,avoiding,0,5.178249999999999,31.8972560090909,direct,direct
13rd,Post-Test,1,reaching,0,2.6608392857142853,20.82780781006494,direct,direct
13rd,Pre-Test,1,avoiding,0,-0.23251785714285736,13.884045454220773,direct,direct
13rd,Pre-Test,1,reaching,0,2.021874999999999,20.57667232954546,direct,direct
13rd,Recap,1,reaching,0,3.8742749999999986,9.613707486538459,direct,direct
13rd,Training,1,reaching,0,6.2010749999999994,12.890664789102562,direct,direct
13rd,Training,2,reaching,0,6.5950999999999995,22.936356502564095,direct,direct
13rd,Training,3,reaching,0,5.028274999999999,31.071794871153852,direct,direct
13rd,Training,4,reaching,0,4.539149999999999,21.885035258974362,direct,direct
13rd,Training,5,reaching,0,3.5774249999999994,20.62142825064102,direct,direct
17rd,Post-Test,1,avoiding,0,1.3727678571428565,25.809023890584417,direct,reversed
17rd,Post-Test,1,reaching,0,1.8613928571428566,26.013846788311692,direct,reversed
17rd,Pre-Test,1,avoiding,0,0.1267678571428567,143.9105786905844,direct,reversed
17rd,Pre-Test,1,reaching,0,2.447071428571428,123.57814646753245,direct,reversed
17rd,Recap,1,reaching,0,3.5928499999999994,33.289359925641016,direct,reversed
17rd,Training,1,reaching,0,5.713525,144.41901399935895,direct,reversed
17rd,Training,2,reaching,0,7.173374999999998,114.91290336858968,direct,reversed
17rd,Training,3,reaching,0,5.797749999999999,59.54083619230767,direct,reversed
17rd,Training,4,reaching,0,3.1271999999999998,24.47087072820512,direct,reversed
17rd,Training,5,reaching,0,1.9629249999999996,21.020186891666665,direct,reversed
1rd,Post-Test,1,avoiding,0,14.913749999999999,53.17211055454544,direct,direct
1rd,Post-Test,1,reaching,0,-0.2175357142857147,33.91429341688311,direct,direct
1rd,Pre-Test,1,avoiding,0,14.803196428571427,53.10591521525974,direct,direct
1rd,Pre-Test,1,reaching,0,1.7526607142857138,15.590426482792207,direct,direct
1rd,Recap,1,reaching,0,0.5970249999999997,20.302952896794867,direct,direct
1rd,Training,1,reaching,0,0.13169999999999954,21.55309636923077,direct,direct
1rd,Training,2,reaching,0,1.5619749999999997,17.695443153205126,direct,direct
1rd,Training,3,reaching,0,1.3051999999999997,26.065808215384607,direct,direct
1rd,Training,4,reaching,0,-0.08617500000000052,17.056129891666664,direct,direct
1rd,Training,5,reaching,0,2.5718499999999995,22.48814054102563,direct,direct
21rd,Post-Test,1,avoiding,0,-1.4505714285714288,18.835626722077922,direct,reversed
21rd,Post-Test,1,reaching,0,-2.309232142857143,20.142514690584413,direct,reversed
21rd,Pre-Test,1,avoiding,0,2.59975,168.0758111363636,direct,reversed
21rd,Pre-Test,1,reaching,0,4.347125,181.6380631295455,direct,reversed
21rd,Recap,1,reaching,0,-0.42145000000000044,19.564010048717947,direct,reversed
21rd,Training,1,reaching,0,1.9917249999999995,148.8000273839743,direct,reversed
21rd,Training,2,reaching,0,1.9369999999999998,20.781290717948714,direct,reversed
21rd,Training,3,reaching,0,1.8475249999999996,23.767746819871785,direct,reversed
21rd,Training,4,reaching,0,0.5954749999999995,25.920435589102567,direct,reversed
21rd,Training,5,reaching,0,0.15279999999999944,20.43558539487179,direct,reversed
25rd,Post-Test,1,avoiding,0,3.435749999999999,39.63542153636362,direct,reversed
25rd,Post-Test,1,reaching,0,1.1692678571428565,23.00946150876623,direct,reversed
25rd,Pre-Test,1,avoiding,0,2.9611249999999996,103.39079738409089,direct,reversed
25rd,Pre-Test,1,reaching,0,1.790464285714285,187.22861410779214,direct,reversed
