participant_id,phase,block,task,,diff_mean,diff_variance,mapping,natural_mapping
11ad,Post-Test,1,avoiding,0,3.743839285714285,10.489510791883115,direct,direct
11ad,Post-Test,1,reaching,0,0.9666964285714281,13.673851560714285,direct,direct
11ad,Pre-Test,1,avoiding,0,-2.531839285714286,64.2306340646104,direct,direct
11ad,Pre-Test,1,reaching,0,-1.6386964285714285,68.86585865162338,direct,direct
11ad,Recap,1,avoiding,0,1.5859249999999996,11.333314276282051,direct,direct
11ad,Training,1,avoiding,0,0.35932499999999956,26.843819763461543,direct,direct
11ad,Training,2,avoiding,0,0.8508999999999997,15.806135476923076,direct,direct
11ad,Training,3,avoiding,0,-0.3635000000000009,19.23343158974359,direct,direct
11ad,Training,4,avoiding,0,0.2843749999999993,10.130303573717944,direct,direct
11ad,Training,5,avoiding,0,1.674949999999999,13.032049279487179,direct,direct
15ad,Post-Test,1,avoiding,0,-0.8486071428571432,22.773608679220775,direct,reversed
15ad,Post-Test,1,reaching,0,-2.772071428571429,32.16377610389611,direct,reversed
15ad,Pre-Test,1,avoiding,0,1.8872678571428574,43.11468052694806,direct,reversed
15ad,Pre-Test,1,reaching,0,2.0377321428571435,51.76008332694803,direct,reversed
15ad,Recap,1,avoiding,0,0.7732249999999995,15.999693050641026,direct,reversed
15ad,Training,1,avoiding,0,-0.19260000000000072,37.66732275897435,direct,reversed
15ad,Training,2,avoiding,0,-0.6430000000000005,21.308120153846158,direct,reversed
15ad,Training,3,avoiding,0,0.38762499999999933,27.117750701923068,direct,reversed
15ad,Training,4,avoiding,0,1.1117249999999992,58.468794973717955,direct,reversed
15ad,Training,5,avoiding,0,0.2944999999999995,46.597389589743564,direct,reversed
19ad,Post-Test,1,avoiding,0,-0.44769642857142894,17.32817043344156,direct,direct
19ad,Post-Test,1,reaching,0,-2.212964285714286,12.566488835064934,direct,direct
19ad,Pre-Test,1,avoiding,0,0.15871428571428595,33.79380268051948,direct,direct
19ad,Pre-Test,1,reaching,0,3.7473928571428567,22.769219551948048,direct,direct
19ad,Recap,1,avoiding,0,0.6221249999999994,19.400335035256408,direct,direct
19ad,Training,1,avoiding,0,1.7105749999999993,15.08276317371795,direct,direct
19ad,Training,2,avoiding,0,0.7395249999999993,8.716698153205128,direct,direct
19ad,Training,3,avoiding,0,1.7535499999999993,17.185981074358978,direct,direct
19ad,Training,4,avoiding,0,1.4400999999999993,16.128541784615383,direct,direct
19ad,Training,5,avoiding,0,0.8165499999999994,22.96426009999999,direct,direct
23ad,Post-Test,1,avoiding,0,1.3413749999999995,34.08667874772728,direct,reversed
23ad,Post-Test,1,reaching,0,3.416107142857143,27.908202606493504,direct,reversed
23ad,Pre-Test,1,avoiding,0,-1.2305535714285711,41.79488926980519,direct,reversed
23ad,Pre-Test,1,reaching,0,-1.0153392857142856,44.533203573701286,direct,reversed
23ad,Recap,1,avoiding,0,2.2156749999999996,34.37973037884615,direct,reversed
23ad,Training,1,avoiding,0,0.27227499999999916,27.049769691666654,direct,reversed
23ad,Training,2,avoiding,0,0.9295249999999996,28.973621691666665,direct,reversed
23ad,Training,3,avoiding,0,1.1194249999999994,29.17196204551281,direct,reversed
