participant_id,phase,block,task,,diff_mean,diff_variance,mapping,natural_mapping
4ai,Training,2,avoiding,0,3.7369499999999993,40.11424994615383,reversed,direct
4ai,Training,3,avoiding,0,2.5974499999999994,46.41575056153847,reversed,direct
4ai,Training,4,avoiding,0,2.9821499999999994,42.01483407948719,reversed,direct
4ai,Training,5,avoiding,0,2.3138999999999994,42.18758414358974,reversed,direct
8ai,Post-Test,1,avoiding,0,2.6886071428571428,16.6805344974026,reversed,reversed
8ai,Post-Test,1,reaching,0,4.685267857142857,29.76293612694804,reversed,reversed
8ai,Pre-Test,1,avoiding,0,-2.7794642857142855,48.72855847142858,reversed,reversed
8ai,Pre-Test,1,reaching,0,4.418232142857143,32.921274872402606,reversed,reversed
8ai,Recap,1,avoiding,0,-0.1281750000000005,24.77163640448717,reversed,reversed
8ai,Training,1,avoiding,0,-0.29027500000000045,23.5873633326923,reversed,reversed
8ai,Training,2,avoiding,0,0.7455999999999994,32.04600701538462,reversed,reversed
8ai,Training,3,avoiding,0,0.3714249999999995,26.258852917307696,reversed,reversed
8ai,Training,4,avoiding,0,0.2807999999999996,32.022955702564104,reversed,reversed
8ai,Training,5,avoiding,0,0.0790249999999996,27.639146640384606,reversed,reversed
