participant_id,trial_index,task,mapping,phase,block,target_pos_x,target_pos_y,timestamp,current_pos_x,current_pos_y,left_button_pressed,middle_button_pressed,right_button_pressed
15ad,49,reaching,direct,Pre-Test,1,-26.05,-564.89,1.905,-40.0,-831.0,0,0,0
15ad,49,reaching,direct,Pre-Test,1,-26.05,-564.89,1.917,-40.0,-831.0,0,0,0
15ad,49,reaching,direct,Pre-Test,1,-26.05,-564.89,1.938,-40.0,-831.0,0,0,0
15ad,49,reaching,direct,Pre-Test,1,-26.05,-564.89,1.955,-40.0,-831.0,0,0,0
15ad,49,reaching,direct,Pre-Test,1,-26.05,-564.89,1.971,-40.0,-831.0,0,0,0
15ad,49,reaching,direct,Pre-Test,1,-26.05,-564.89,1.988,-40.0,-831.0,0,0,0
15ad,49,reaching,direct,Pre-Test,1,-26.05,-564.89,2.004,-40.0,-831.0,0,0,0
15ad,49,reaching,direct,Pre-Test,1,-26.05,-564.89,2.021,-40.0,-831.0,0,0,0
15ad,49,reaching,direct,Pre-Test,1,-26.05,-564.89,2.038,-40.0,-831.0,0,0,0
15ad,49,reaching,direct,Pre-Test,1,-26.05,-564.89,2.055,-40.0,-831.0,0,0,0
15ad,49,reaching,direct,Pre-Test,1,-26.05,-564.89,2.071,-40.0,-831.0,0,0,0
15ad,49,reaching,direct,Pre-Test,1,-26.05,-564.89,2.088,-40.0,-831.0,0,0,0
15ad,49,reaching,direct,Pre-Test,1,-26.05,-564.89,2.105,-40.0,-831.0,0,0,0
15ad,49,reaching,direct,Pre-Test,1,-26.05,-564.89,2.117,-40.0,-831.0,0,0,0
15ad,49,reaching,direct,Pre-Test,1,-26.05,-564.89,2.138,-40.0,-831.0,0,0,0
15ad,49,reaching,direct,Pre-Test,1,-26.05,-564.89,2.155,-40.0,-831.0,0,0,0
15ad,49,reaching,direct,Pre-Test,1,-26.05,-564.89,2.171,-40.0,-831.0,0,0,0
15ad,49,reaching,direct,Pre-Test,1,-26.05,-564.89,2.187,-40.0,-831.0,0,0,0
