participant_id,trial_index,task,mappingphase,block,target_pos_x,target_pos_y,timestamp,current_pos_x,current_pos_y,left_button_pressed,middle_button_pressed,right_button_pressed
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,2.339,-38.0,-829.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,2.415,-38.0,-829.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,2.491,-37.0,-796.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,2.568,-37.0,-763.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,2.643,-37.0,-747.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,2.718,-37.0,-737.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,2.793,-37.0,-720.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,2.868,-37.0,-690.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,2.944,-37.0,-666.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,3.02,-37.0,-632.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,3.098,-37.0,-601.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,3.175,-37.0,-594.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,3.251,-37.0,-579.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,3.335,-37.0,-550.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,3.414,-36.0,-545.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,3.49,-26.0,-545.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,3.565,1.0,-528.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,3.642,29.0,-517.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,3.717,36.0,-512.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,3.792,36.0,-493.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,3.868,36.0,-450.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,3.944,36.0,-367.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,4.019,37.0,-261.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,4.095,37.0,-143.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,4.171,38.0,-17.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,4.248,38.0,112.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,4.324,38.0,224.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,4.4,38.0,330.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,4.482,38.0,425.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,4.558,38.0,514.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,4.634,38.0,605.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,4.709,38.0,693.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,4.836,38.0,798.0,1,0,0
denniz,20,avoiding,None,Post-Test,1,-26.05,-589.58,4.914,38.0,849.0,0,0,0
