participant_id,trial_index,task,mappingphase,block,target_pos_x,target_pos_y,timestamp,current_pos_x,current_pos_y,left_button_pressed,middle_button_pressed,right_button_pressed
lkngyue5,4,reaching,None,Pre-Test,1,-26.05,-95.69,2.776,-39.0,-832.0,1,0,0
lkngyue5,4,reaching,None,Pre-Test,1,-26.05,-95.69,2.834,-39.0,-832.0,1,0,0
lkngyue5,4,reaching,None,Pre-Test,1,-26.05,-95.69,2.891,-38.0,-817.0,1,0,0
lkngyue5,4,reaching,None,Pre-Test,1,-26.05,-95.69,2.95,-38.0,-768.0,1,0,0
lkngyue5,4,reaching,None,Pre-Test,1,-26.05,-95.69,3.009,-38.0,-700.0,1,0,0
lkngyue5,4,reaching,None,Pre-Test,1,-26.05,-95.69,3.069,-38.0,-620.0,1,0,0
lkngyue5,4,reaching,None,Pre-Test,1,-26.05,-95.69,3.127,-38.0,-503.0,1,0,0
lkngyue5,4,reaching,None,Pre-Test,1,-26.05,-95.69,3.187,-38.0,-371.0,1,0,0
lkngyue5,4,reaching,None,Pre-Test,1,-26.05,-95.69,3.247,-37.0,-239.0,1,0,0
lkngyue5,4,reaching,None,Pre-Test,1,-26.05,-95.69,3.306,-37.0,-115.0,1,0,0
lkngyue5,4,reaching,None,Pre-Test,1,-26.05,-95.69,3.366,-37.0,-43.0,1,0,0
lkngyue5,4,reaching,None,Pre-Test,1,-26.05,-95.69,3.425,-37.0,-26.0,1,0,0
lkngyue5,4,reaching,None,Pre-Test,1,-26.05,-95.69,3.482,-37.0,-26.0,1,0,0
lkngyue5,4,reaching,None,Pre-Test,1,-26.05,-95.69,3.541,-37.0,-27.0,1,0,0
lkngyue5,4,reaching,None,Pre-Test,1,-26.05,-95.69,3.6,-33.0,-29.0,0,0,0
