participant_id,trial_index,task,mappingphase,block,target_pos_x,target_pos_y,timestamp,current_pos_x,current_pos_y,left_button_pressed,middle_button_pressed,right_button_pressed
deniz2,11,avoiding,None,Pre-Test,1,-26.05,151.25,2.344,-37.0,-823.0,1,0,0
deniz2,11,avoiding,None,Pre-Test,1,-26.05,151.25,2.447,-36.0,-775.0,1,0,0
deniz2,11,avoiding,None,Pre-Test,1,-26.05,151.25,2.545,-36.0,-663.0,1,0,0
deniz2,11,avoiding,None,Pre-Test,1,-26.05,151.25,2.651,-36.0,-509.0,1,0,0
deniz2,11,avoiding,None,Pre-Test,1,-26.05,151.25,2.756,-36.0,-365.0,1,0,0
deniz2,11,avoiding,None,Pre-Test,1,-26.05,151.25,2.856,-36.0,-255.0,1,0,0
deniz2,11,avoiding,None,Pre-Test,1,-26.05,151.25,2.956,-36.0,-154.0,1,0,0
deniz2,11,avoiding,None,Pre-Test,1,-26.05,151.25,3.056,-36.0,-69.0,1,0,0
deniz2,11,avoiding,None,Pre-Test,1,-26.05,151.25,3.161,-36.0,0.0,1,0,0
deniz2,11,avoiding,None,Pre-Test,1,-26.05,151.25,3.264,-36.0,54.0,1,0,0
deniz2,11,avoiding,None,Pre-Test,1,-26.05,151.25,3.371,-35.0,88.0,1,0,0
deniz2,11,avoiding,None,Pre-Test,1,-26.05,151.25,3.477,-35.0,113.0,1,0,0
deniz2,11,avoiding,None,Pre-Test,1,-26.05,151.25,3.582,-35.0,122.0,1,0,0
deniz2,11,avoiding,None,Pre-Test,1,-26.05,151.25,3.685,-32.0,131.0,1,0,0
deniz2,11,avoiding,None,Pre-Test,1,-26.05,151.25,3.785,-12.0,139.0,1,0,0
deniz2,11,avoiding,None,Pre-Test,1,-26.05,151.25,3.887,25.0,158.0,1,0,0
deniz2,11,avoiding,None,Pre-Test,1,-26.05,151.25,3.989,37.0,173.0,1,0,0
deniz2,11,avoiding,None,Pre-Test,1,-26.05,151.25,4.09,37.0,215.0,1,0,0
deniz2,11,avoiding,None,Pre-Test,1,-26.05,151.25,4.197,37.0,295.0,1,0,0
deniz2,11,avoiding,None,Pre-Test,1,-26.05,151.25,4.345,37.0,430.0,1,0,0
deniz2,11,avoiding,None,Pre-Test,1,-26.05,151.25,4.443,38.0,518.0,1,0,0
deniz2,11,avoiding,None,Pre-Test,1,-26.05,151.25,4.554,38.0,608.0,1,0,0
deniz2,11,avoiding,None,Pre-Test,1,-26.05,151.25,4.653,38.0,684.0,1,0,0
deniz2,11,avoiding,None,Pre-Test,1,-26.05,151.25,4.756,38.0,771.0,1,0,0
deniz2,11,avoiding,None,Pre-Test,1,-26.05,151.25,4.859,38.0,850.0,1,0,0
deniz2,11,avoiding,None,Pre-Test,1,-26.05,151.25,4.962,38.0,899.0,1,0,0
deniz2,11,avoiding,None,Pre-Test,1,-26.05,151.25,5.067,38.0,899.0,0,0,0
