,participant_id,trial_index,task,mapping,phase,block,target_pos_x,target_pos_y,timestamp,current_pos_x,current_pos_y,left_button_pressed,middle_button_pressed,right_button_pressed
0,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.005,-35.0,-820.0,0,0,0
1,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.022,-35.0,-820.0,0,0,0
2,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.039,-35.0,-820.0,0,0,0
3,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.055,-35.0,-820.0,0,0,0
4,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.072,-35.0,-820.0,0,0,0
5,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.089,-35.0,-819.0,0,0,0
6,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.106,-34.0,-819.0,0,0,0
7,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.122,-34.0,-819.0,0,0,0
8,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.139,-34.0,-819.0,0,0,0
9,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.155,-34.0,-818.0,0,0,0
10,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.172,-34.0,-818.0,0,0,0
11,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.188,-34.0,-818.0,0,0,0
12,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.205,-34.0,-818.0,0,0,0
13,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.219,-34.0,-816.0,0,0,0
14,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.234,-34.0,-812.0,0,0,0
15,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.251,-34.0,-806.0,0,0,0
16,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.267,-34.0,-796.0,0,0,0
17,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.284,-34.0,-785.0,0,0,0
18,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.301,-33.0,-767.0,0,0,0
19,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.317,-33.0,-751.0,0,0,0
20,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.334,-33.0,-734.0,0,0,0
21,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.351,-33.0,-713.0,0,0,0
22,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.369,-33.0,-698.0,0,0,0
23,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.384,-33.0,-681.0,0,0,0
24,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.401,-33.0,-670.0,0,0,0
25,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.417,-33.0,-656.0,0,0,0
26,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.434,-33.0,-640.0,0,0,0
27,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.451,-33.0,-617.0,0,0,0
28,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.468,-33.0,-600.0,0,0,0
29,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.484,-34.0,-585.0,0,0,0
30,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.501,-34.0,-569.0,0,0,0
31,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.517,-34.0,-559.0,0,0,0
32,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.536,-34.0,-545.0,0,0,0
33,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.551,-34.0,-533.0,0,0,0
34,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.567,-34.0,-518.0,0,0,0
35,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.584,-34.0,-504.0,0,0,0
36,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.601,-34.0,-486.0,0,0,0
37,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.617,-34.0,-474.0,0,0,0
38,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.634,-34.0,-456.0,0,0,0
39,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.651,-34.0,-440.0,0,0,0
40,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.667,-34.0,-424.0,0,0,0
41,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.684,-34.0,-403.0,0,0,0
42,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.701,-34.0,-390.0,0,0,0
43,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.718,-34.0,-378.0,0,0,0
44,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.734,-34.0,-362.0,0,0,0
45,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.751,-34.0,-348.0,0,0,0
46,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.767,-34.0,-332.0,0,0,0
47,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.784,-34.0,-311.0,0,0,0
48,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.801,-34.0,-296.0,0,0,0
49,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.818,-34.0,-283.0,0,0,0
50,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.834,-34.0,-264.0,0,0,0
51,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.851,-34.0,-250.0,0,0,0
52,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.867,-34.0,-231.0,0,0,0
53,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.884,-34.0,-218.0,0,0,0
54,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.901,-34.0,-207.0,0,0,0
55,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.918,-34.0,-197.0,0,0,0
56,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.934,-34.0,-182.0,0,0,0
57,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.951,-34.0,-163.0,0,0,0
58,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.967,-34.0,-148.0,0,0,0
59,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,3.984,-34.0,-134.0,0,0,0
60,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,4.001,-34.0,-120.0,0,0,0
61,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,4.018,-34.0,-102.0,0,0,0
62,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,4.034,-34.0,-88.0,0,0,0
63,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,4.051,-34.0,-75.0,0,0,0
64,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,4.067,-34.0,-60.0,0,0,0
65,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,4.084,-34.0,-42.0,0,0,0
66,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,4.101,-34.0,-24.0,0,0,0
67,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,4.118,-34.0,-10.0,0,0,0
68,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,4.134,-34.0,4.0,0,0,0
69,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,4.151,-34.0,17.0,0,0,0
70,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,4.167,-34.0,34.0,0,0,0
71,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,4.184,-34.0,48.0,0,0,0
72,48ai,83,avoiding,reversed,Pre-Test,1,-26.05,-564.89,4.201,-34.0,64.0,0,0,0
