participant_id,trial_index,task,phase,block,target_pos_x,target_pos_y,timestamp,current_pos_x,current_pos_y,left_button_pressed,middle_button_pressed,right_button_pressed
participantid,1,avoiding,Pre-Test,1,0,30.84,6.218,4.0,28.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,6.276,3.0,30.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,6.335,3.0,31.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,6.393,3.0,31.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,6.451,3.0,31.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,6.509,2.0,31.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,6.567,2.0,31.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,6.625,2.0,31.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,6.683,2.0,31.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,6.743,2.0,30.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,6.801,2.0,30.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,6.86,2.0,30.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,6.92,2.0,30.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,6.979,2.0,30.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,7.038,2.0,30.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,7.096,2.0,30.0,1,0,0
participantid,1,avoiding,Pre-Test,1,0,30.84,7.155,2.0,30.0,0,0,0
